GA;GB;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;G41;G42;G43;G44;G45;G46;G47;G48;G49;G50;G51;G52;G53;G54;G55;G56;G57;G58;G59;G60;G61;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G74;G75;G76;G77;G78;G79;G80;G81;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G94;G95;G96;G97;G98;G99;G100;G101;G102;G103;G104;G105;G106;G107;G108;G109;G110;G111;G112;G113;G114;G115;G116;G117;G118;G119;G120;G121;G122;G123;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G135;G136;G137;G138;G139;G140;G141;G142;G143;G144;G145;G146;G147;G148;G149;G150;G151;G152;G153;G154;G155;G156;G157;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G168;G169;G170;G171;G172;G173;G174;G175;G176;G177;G178;G179;G180;G181;G182;G183;G184;G185;G186;G187;G188;G189;G190;G191;G192;G193;G194;G195;G196;G197;G198;G199;G200;G201;G202;G203;G204;G205;G206;G207;G208
  Республика Адыгея;301781;3082542;0;874510;0;725;0;0;7530;18252;0;0;0;0;5639974;54941;254905;0;0;42;479995;0;0;0;6521600;0;0;0;0;0;0;94801;839;0;0;0;0;0;0;106934;41;624833;6318869;0;22625;0;0;0;-452;0;0;0;0;0;0;0;0;0;0;0;37905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145731;0;0;0;0;106093;55599;1338759;129119;69249;466187;1981;0;51006;0;0;0;0;103057;26313;0;28937;0;0;0;146589;29699;0;0;131749;8210;67255;0;0;0;0;0;0;0;0;15511;0;0;0;0;0;0;9040;187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78;0;899;11922;0;0;17932;0;0;0;0;0
  Республика Башкортостан;8030468;44531011;34;14283924;0;-136;0;136427;948598;137198;10349;47407;0;8652;67023079;424804;1295717;650;2;1751;4517365;0;3074;0;71010871;67126;0;0;0;0;0;0;0;8104;51634857;-10352184;0;48607269;34503;185316;0;7781260;9972923;0;1209;0;0;-1625814;-7335;0;20948;0;0;0;0;0;-300829209;0;0;0;2912228;0;0;0;0;0;0;0;0;0;1174;500790;1327;0;0;0;0;0;0;0;0;1375844;0;0;0;0;284921;277627;11488097;416437;1021861;3270572;7197;0;1075480;0;0;0;0;408940;205778;0;241647;0;0;0;602425;117979;0;229090465;18858;0;245193;0;0;0;0;0;0;0;0;309066;0;1062;3588064;0;0;0;207034;6644;0;28;0;0;-10054126;0;0;100159635;0;0;0;0;0;54;0;0;0;0;0;0;3;0;0;0;0;0;0;51;29;493;0;0;1;0;0;0;262;0;89;0;0;0;3;105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13455;384;1317043;56301;161;0;161791;0;2736;0;0;0
  Республика Бурятия;1901129;11315144;0;307205;0;0;0;139884;650;54;0;0;0;0;18448701;83665;243288;469;-1;306;5931934;0;0;5000;-2454644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22823;0;0;0;0;0;0;-9295;0;0;0;0;0;0;0;0;0;0;0;306421;0;0;0;0;0;0;0;0;0;162;274;0;0;0;0;0;0;0;0;0;144392;0;0;0;0;46537;21364;5472406;28;107037;699971;700;0;300576;0;0;0;134;56707;26354;0;132569;0;0;1;138250;22025;0;0;0;0;57239;0;0;0;0;0;0;0;0;1395621;0;403770;591268;0;0;0;42196;1456;0;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12644;4;4140;14074;0;0;17865;0;0;0;0;0
  Республика Алтай;368689;2408969;0;8524;0;0;0;171;-277;0;1680;37947;0;0;3583195;12379;72583;0;0;-2;466073;0;0;0;2543113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1015;0;0;0;0;0;0;-1961;0;0;0;0;0;0;0;0;0;0;0;48752;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28774;0;0;0;0;45472;0;534338;2649;33107;172800;0;0;27162;0;0;0;0;61127;0;0;14135;0;0;0;62857;0;0;0;0;0;14430;0;0;0;0;0;0;0;0;127893;0;0;0;0;0;0;4087;3854;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;761;0;31;6295;5;0;631;0;0;0;0;0
  Республика Дагестан;565363;4381814;4;1420649;0;1083;0;3578;938;135;0;0;0;0;18711923;83839;1069643;-1;0;15;4415831;0;-3;5000;10507591;84;0;155;0;0;0;0;52384;724;9038;30043;0;0;0;42956;177768;71895;1976760;906685;0;0;0;0;-1044;0;30472;0;0;0;0;0;0;0;0;0;403129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;221737;580977;78;0;0;84852;3609;3987883;332308;121551;2014113;9779;0;175336;0;517681;52;5995;191113;4645;0;158983;340727;66;-52;123419;4469;0;1397016;32265;11556;26298;0;0;0;0;0;0;0;0;3254;0;0;0;0;0;0;9746;1454;456;2559;0;0;602630;0;0;0;0;3;-3;0;0;98;8;0;0;0;0;0;0;0;0;0;0;0;0;564;148;22;0;0;49;186;0;63;1550;0;0;0;0;0;1;134;0;1;0;0;0;0;0;0;0;0;0;0;-3;0;8;1;1;0;0;0;5;0;0;1279;0;0;226580;60;0;226717;0;0;0;0;0
  Республика Ингушетия;70844;415024;0;22911;0;0;0;0;0;0;0;0;0;0;3036947;11592;56958;0;0;0;24337;0;0;0;1293209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;166165;0;0;0;639;47814;0;865964;1460;14212;210154;0;0;43270;0;0;0;1381;14953;0;0;39739;0;0;19;23956;0;0;572547;0;0;3036;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36667;0;0;0;0;0;265999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;366;0;0;13792;0;0;3874;0;0;0;0;0
  Кабардино-Балкарская Республика;214501;1977575;0;113618;0;0;0;417;1057;0;0;0;344;0;6556324;39858;227941;0;0;0;230546;0;0;5000;4235909;1177554;0;0;0;0;0;0;816;66;0;0;0;0;0;721792;2115;137425;2239035;0;0;0;0;0;0;0;0;0;0;0;0;23685;0;0;0;0;115344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142926;0;0;0;0;72363;35458;1526751;27709;31846;312303;5572;0;99493;0;0;0;0;92197;22466;0;45764;0;0;0;26455;11676;0;2701;0;0;7732;0;0;0;0;0;0;0;0;1241;0;0;0;0;0;0;38188;143;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135;1;2;0;0;198;0;0;0;4;4;0;0;0;0;2;11;0;0;0;0;0;0;0;0;0;0;0;-2;0;0;-3;0;1;0;0;0;0;0;0;-37;0;1056;33501;0;0;0;0;0;0;0;0
  Республика Калмыкия;50660;1949110;0;448743;0;0;0;0;0;0;0;0;0;0;2808213;17012;72043;0;7;1;35081;0;0;0;2997547;0;0;0;0;0;0;0;0;0;0;307;0;0;0;0;0;241;0;0;0;0;0;0;0;0;143741;0;0;0;0;0;0;0;0;0;26079;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85751;0;0;0;0;16350;2751;1387989;34226;33093;214773;1169;0;47715;0;0;0;0;15669;3540;0;36364;0;0;0;49433;3944;0;294018;48213;0;929;0;0;0;0;0;0;0;0;330;0;0;0;0;0;0;2747;19;535;3;0;0;6690;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14028;0;0;12921;20;0;3278;0;0;0;0;0
  Карачаево-Черкесская Республика;183613;1640170;0;92885;0;0;0;145;-1;0;0;0;0;0;4299359;34594;121835;0;0;18;64182;0;0;0;3534843;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108541;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86624;0;0;0;0;42539;14040;943106;-382;48503;290030;819;0;110867;0;0;0;0;36665;4202;0;67455;0;0;0;56404;7358;0;0;0;0;17457;0;0;0;0;0;0;0;0;16456;0;0;312225;0;0;0;15833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;57;0;0;11215;0;0;581;0;0;0;0;0
  Республика Карелия;909174;6529816;0;2176875;0;0;0;2629;53101;28719;0;61;0;122;16353997;56828;404994;0;8;287;848385;0;0;0;10970720;-301;0;0;0;0;0;0;0;619;0;0;0;0;0;0;0;15846;830150;0;0;0;0;0;-2278;0;-648;0;0;0;0;0;0;0;0;0;678776;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;186029;0;0;0;0;25881;53718;2846704;15081;184188;836854;1275;0;161062;0;0;0;0;39812;51144;0;26042;0;0;0;40622;23204;0;0;0;0;618567;6155418;0;0;0;0;0;0;0;14970;0;0;585288;0;0;0;2189;4262;30388;728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;0;0;0;2;0;0;3;0;0;0;184;0;0;0;1;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5807;0;174436;11565;0;0;32885;0;0;0;0;0
  Республика Коми;3027592;15865007;0;32440272;11;0;0;326047;18598;362622;101;5442;0;9834;28481773;74971;234723;0;0;157;1285961;0;0;0;54876788;0;0;0;0;0;0;0;0;0;6264377;6942;0;8171624;0;0;0;264756;2443844;0;0;0;0;0;-89286;0;-43170;0;0;0;0;0;188;0;0;0;126678;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;505937;0;0;0;359;33888;57175;7967101;12535747;319591;972741;1127;0;203906;0;0;0;3;34823;26684;0;39446;0;0;6;17762;8687;0;401620486;536020;0;93591;0;0;0;2072059;0;0;0;0;38158;0;46945;530749;0;0;0;33834;3394;30;51;13992603;0;337393;1183682;0;43653238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37769;4;0;19971;5;0;311719;0;0;0;0;0
  Республика Крым;1352672;13217032;0;-4982;0;0;0;2209;90324;53556;0;359311;0;47941;30506735;217769;965313;650;0;160;1374675;0;1137;0;26974779;86;0;-781;0;0;0;1747;36719;1932798;0;0;0;0;0;300414;151438;1482638;3656454;1033287;1802;14867;0;0;-25;0;0;0;0;0;0;0;0;0;0;0;187167;0;0;0;1377;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;304836;0;0;0;0;137098;22960;3708751;0;160573;1059857;6280;0;293300;0;0;0;0;94732;1660;0;160621;0;0;0;300599;5288;0;251085;332740;230642;262270;0;0;0;0;0;0;0;0;62861;0;0;22688;0;0;0;81890;1185;4736;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1671;6689;1448;46722;10;0;395;0;0;0;0;0
  Республика Марий-Эл;736224;4710327;0;985022;0;-6;0;1448;6947;0;0;0;0;7866;10263284;57694;144742;8;0;495;588213;0;0;0;12476360;1341;0;0;0;0;0;0;0;811;0;0;0;0;0;0;0;181709;206795;0;33;0;0;0;0;0;-2121;0;0;0;0;0;0;0;0;0;176453;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;185450;0;0;0;0;31697;44067;1561632;100283;127745;704653;1883;0;107261;0;0;0;0;19153;20797;0;30719;0;0;0;18518;9947;0;0;0;0;31626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21602;1232;0;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;30;1;32;12612;144;0;61662;0;0;0;0;0
  Республика Мордовия;992595;6370003;0;586434;0;11;0;173;201888;0;0;6;0;0;11798579;129344;157934;0;0;47;894066;0;0;0;15104123;899;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2082231;9143189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;292796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;118942;0;0;0;0;43072;41193;2409372;103876;206113;746674;1932;0;379138;0;0;0;0;89560;62509;0;41392;0;0;0;64272;16022;0;0;0;0;20756;0;0;0;0;0;0;0;0;60575;0;0;0;0;0;0;24997;594;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;14;24;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;303;0;26648;18523;0;0;30357;0;0;0;0;0
  Республика Саха (Якутия);7339828;50572027;0;3511092;0;0;0;19300;295200;2809515;42;-1083;-10074;12259;49834441;113599;395459;53;12;33;2160558;0;0;0;14656745;0;0;0;0;0;0;0;0;0;13335;173462;0;21613;0;0;0;48350;618936;0;0;0;0;0;-2045606;0;-278922;0;0;0;0;0;0;0;0;0;51396;0;0;0;0;0;0;0;0;0;418;1382;0;0;0;0;0;0;0;0;0;118760;0;0;0;14;8677;74090;16572208;-72863;411520;834468;840;0;125617;0;0;0;4018;87576;383522;0;74720;0;0;342;48825;60649;0;117567695;218226;853202;234971;0;0;0;3897917;0;0;0;0;8575477;22235555;-509843;328753;0;0;0;17241;10995;3;3880;6254752;39869416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;205597;2;0;16261;8;0;20287;0;0;0;0;0
  Республика Северная Осетия-Алания;279825;2876752;0;434863;0;20;0;103;18;0;0;0;0;0;7750864;31782;181264;0;0;30;104292;0;0;0;6358165;1253;0;-2391;0;0;0;2;0;620923;128;0;0;295;0;300732;94844;501418;653110;0;2896;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116665;0;0;0;0;41240;31843;1620120;196787;35678;508267;46584;0;117976;0;0;0;5114;10053;32879;0;44457;0;0;0;52690;18322;0;2192;0;0;31833;0;0;0;0;0;0;0;0;928;0;0;0;0;0;0;68803;87;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;0;0;25866;145;0;154695;0;0;0;0;0
