"GA","GB","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57"
"Республика Адыгея","19514914","22455385","18162499","20311699","68817","23413","17234329","45464321","1740944","2494070","1048288","2780900","267030","378535","355049","642032","0","0","693239","2138840","241918","357062","65475","41041","598","116","х","387","451","х","0","0","1791","9030","1057","1226","760","2780","277","366","0","0","х","3","4","х","9","29","18","10","0","х","0","0","0","28","0","0"
"Республика Башкортостан","256703842","121529147","238847728","109847184","1145816","533396","103779593","229079608","22584465","12351382","6209660","13712004","3399248","1874284","1975898","3604327","0","87","4233733","10106697","3022432","1750731","930618","275296","74259","17055","131669","57647","38425","3426","294","0","15625","62097","14113","9819","7528","16614","3881","3215","2","0","83","69","48","4","59","61","178","63","0","0","0","0","0","0","0","0"
"Республика Бурятия","63188697","31321946","57321192","27610654","116475","14774","40382449","148268407","6275280","4115543","1308893","3239222","795285","439696","441059","1091916","0","0","867784","2147358","701520","403359","219158","71643","2172","787","1137965","5718682","127915","171597","6213","2328","4819","15206","3887","2148","2352","4857","1352","747","50","14","651","2978","170","175","15","48","31","21","0","0","0","0","0","0","0","0"
"Республика Алтай","16705412","9790928","15140746","8880137","24159","7224","10841230","15824570","1806132","972769","652806","905033","245235","135410","225005","257982","0","0","427639","647051","228710","122234","43724","24290","2322","686","1322","11005","31188","6521","33467","7387","1419","4267","1135","779","743","1152","398","138","66","13","2","7","37","26","4","2","15","11","0","0","0","0","0","0","0","0"
"Республика Дагестан","35628711","38551266","28220321","30412761","100202","58485","42057231","245503429","7824543","8295114","471904","2719250","432948","440811","148710","1312305","15","-48","323179","1406967","390087","380515","106226","123362","4739","1860","2064178","12053651","701831","743126","4852","815","4396","26756","3144","3000","1649","4993","1106","703","40","3","2700","21005","1913","2197","8","43","26","16","0","0","0","х","0","0","0","28"
"Республика Ингушетия","3383029","2262603","3111135","2096191","56","12712","6768990","16161082","282996","171119","141411","341126","38836","25834","29834","133693","15","0","111562","207433","36484","24221","6164","2492","0","1828","266746","630737","2772","363","148","0","1337","1581","576","194","751","373","309","70","4","0","570","1123","152","98","3","3","х","2","0","0","0","0","0","0","0","0"
"Кабардино-Балкарская Республика","38276202","30452736","34521597","27036332","179054","144189","6949197","18129996","4061046","3438479","426215","1076861","544146","430191","131526","271984","0","0","294686","804845","503477","398455","94337","64727","12442","5892","0","х","74529","85766","9508","751","1412","6085","2596","2707","631","1717","814","736","19","3","0","х","1427","1715","2","2","25","14","0","0","0","0","0","0","0","0"
"Республика Калмыкия","15850913","30595637","13711939","23029788","5036","51996","64634319","842069064","2396968","7637287","760135","10217952","151773","437641","184522","3620696","0","0","575613","6597257","112201","381189","81433","88589","236","3218","3138848","40743130","179234","686536","0","0","2955","19281","621","734","846","1644","210","95","0","0","2040","17117","318","580","17","342","14","14","0","0","0","0","0","0","0","0"
"Карачаево-Черкесская Республика","14650877","15399173","13642619","13796281","6533","9899","8650769","29354973","1373802","1617941","505271","1406411","204250","232479","124360","392143","0","0","380912","1013908","190488","227560","29034","14923","18","1034","37396","361538","7701","13511","1260","х","1289","5925","900","1120","664","1925","312","344","17","х","35","321","37","45","11","8","13","7","0","0","0","0","0","0","0","0"
"Республика Карелия","88396867","15619227","81526231","13701730","351599","56716","28471226","41176092","8498069","2176715","1608796","2393274","1044047","263443","556740","729422","0","0","1052056","1663851","874761","244402","428264","48255","5433","3186","122058","69165","203645","56599","14356","3566","4625","10626","4928","1431","2471","2780","1460","408","46","9","125","198","3402","974","11","4","41","2","0","0","0","0","0","0","0","0"
"Республика Коми","54201170","21541220","48314856","18116322","166290","40726","39730587","69017525","6375805","3490830","1206250","2092403","493360","271396","497563","905885","0","0","708687","1186519","347614","222931","330450","90193","3474","646","1191326","2050138","397761","236262","8417","х","4655","13194","3083","1292","1762","2999","755","299","22","х","2880","9993","2293","970","10","9","19","9","0","0","0","0","0","0","0","0"
"Республика Крым","75482932","48245400","67525366","41113531","176484","39236","81981282","267039729","8848615","7451546","3373829","10849449","938402","776861","1193307","3791670","0","0","2180522","7057779","792187","715357","339632","122817","13662","144","1595137","5244793","370922","339294","0","0","13359","54713","3976","2511","6656","15138","1325","666","0","0","6556","38670","2439","1764","27","43","56","29","0","0","0","0","0","0","0","0"
"Республика Марий-Эл","66737801","22695779","61709392","20574150","413855","44491","21914255","36669141","5922254","2396029","1303743","2184669","904166","354736","455528","666874","0","0","848215","1517739","798756","326997","271629","61712","19607","3560","29835","6792","52","0","15798","6800","2438","10223","3016","1640","1009","2732","841","422","29","6","15","5","8","2","9","5","53","10","0","0","0","0","0","0","0","0"
